序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
39,300568,星源材质,14.71,2.15,0.31,268866,395999723.22,3.19,14.93,14.47,14.5,14.4,2.22,187.84,2.26
40,002850,科达利,180.97,2.14,3.79,11314,203754029.95,2.83,182.22,177.2,178.04,177.18,0.54,27.47,3.43
41,600549,厦门钨业,53.48,2.08,1.09,191663,1014556896.0,2.96,53.73,52.18,52.7,52.39,1.23,19.29,4.54
42,688005,容百科技,26.63,2.07,0.54,45765,121108036.0,2.76,26.79,26.07,26.07,26.09,0.64,86.98,2.45
43,002171,楚江新材,9.9,2.06,0.2,184916,181861342.94,2.16,9.91,9.7,9.7,9.7,1.15,28.66,1.83
44,300750,宁德时代,384.4,2.04,7.67,96089,3668209520.78,3.13,385.5,373.71,379.9,376.73,0.23,20.54,4.77
45,920508,殷图网联,14.48,2.04,0.29,1387,1996107.04,2.68,14.56,14.18,14.3,14.19,0.43,-93.72,4.58
46,002460,赣锋锂业,54.12,2.02,1.07,169463,906013069.09,3.51,54.39,52.53,52.7,53.05,1.4,15.44,2.46
47,301238,瑞泰新材,16.33,2.0,0.32,56167,91418472.0,2.62,16.43,16.01,16.06,16.01,0.77,33.1,1.64
48,688567,孚能科技,9.75,1.99,0.19,36565,35463461.0,2.41,9.78,9.55,9.6,9.56,0.3,-21.24,1.31
49,301358,湖南裕能,63.77,1.97,1.23,75059,473455055.89,3.77,64.11,61.75,61.83,62.54,0.98,9.29,2.64
50,002812,恩捷股份,54.84,1.95,1.05,83309,454036197.17,3.46,55.26,53.4,54.1,53.79,1.01,32.8,2.07
51,920237,力佳科技,12.19,1.92,0.23,9670,11786900.13,5.77,12.42,11.73,11.83,11.96,1.04,99.14,2.23
52,688411,海博思创,202.09,1.89,3.74,6607,133539754.0,3.57,204.69,197.6,197.6,198.35,0.5,45.26,7.8
53,300769,德方纳米,46.57,1.86,0.85,46250,214439353.53,2.93,46.87,45.53,45.72,45.72,1.84,12.31,2.5
54,688353,华盛锂电,90.13,1.86,1.65,24515,220449930.0,4.32,90.96,87.14,88.0,88.48,1.54,32.25,3.94
55,300285,国瓷材料,64.41,1.85,1.17,336042,2145084986.55,3.32,64.8,62.7,63.26,63.24,3.94,88.52,8.82
56,603659,璞泰来,24.17,1.85,0.44,126894,304647940.0,2.82,24.28,23.61,23.74,23.73,0.59,17.85,2.42
57,002340,格林美,6.63,1.84,0.12,472319,310905524.05,2.46,6.64,6.48,6.49,6.51,0.93,16.19,1.59
58,688819,天能股份,22.36,1.82,0.4,12922,28740983.0,2.64,22.38,21.8,21.98,21.96,0.13,72.37,1.31
59,600733,北汽蓝谷,5.07,1.81,0.09,420863,213734492.0,3.61,5.14,4.96,4.99,4.98,0.7,-9.27,5.36
