证券代码,证券名称,sw_l1,股票代码,股票简称,首次预约,初次变更,二次变更,三次变更,实际披露
688500,慧辰股份,计算机,688500,慧辰股份,2026-08-27,,,,
688509,正元地信,计算机,688509,正元地信,2026-08-28,,,,
688561,奇安信-U,计算机,688561,奇安信,2026-08-28,,,,
688588,凌志软件,计算机,688588,凌志软件,2026-08-31,,,,
688590,新致软件,计算机,688590,新致软件,2026-08-28,,,,
688787,海天瑞声,计算机,688787,海天瑞声,2026-08-27,,,,
688246,嘉和美康,计算机,688246,嘉和美康,2026-08-29,,,,
300766,每日互动,计算机,300766,每日互动,2026-08-29,,,,
301159,三维天地,计算机,301159,三维天地,2026-08-29,,,,
301117,佳缘科技,计算机,301117,ST佳缘,2026-08-28,,,,
688171,纬德信息,计算机,688171,纬德信息,2026-08-31,,,,
301218,华是科技,计算机,301218,华是科技,2026-08-27,,,,
301153,中科江南,计算机,301153,中科江南,2026-08-28,,,,
301269,华大九天,计算机,301269,华大九天,2026-08-29,,,,
000409,云鼎科技,计算机,000409,云鼎科技,2026-08-28,,,,
301095,广立微,计算机,301095,广立微,2026-08-29,,,,
301330,熵基科技,计算机,301330,熵基科技,2026-08-28,,,,
301339,通行宝,计算机,301339,通行宝,2026-08-29,,,,
301316,慧博云通,计算机,301316,慧博云通,2026-08-27,,,,
688031,星环科技,计算机,688031,星环科技,2026-08-27,,,,
688244,永信至诚,计算机,688244,永信至诚,2026-08-29,,,,
688291,金橙子,计算机,688291,金橙子,2026-08-27,,,,
688152,麒麟信安,计算机,688152,麒麟信安,2026-08-27,,,,
301396,宏景科技,计算机,301396,宏景科技,2026-08-29,,,,
688206,概伦电子,计算机,688206,概伦电子,2026-08-27,,,,
688489,三未信安,计算机,688489,三未信安,2026-08-29,,,,
688343,云天励飞,计算机,688343,云天励飞,2026-08-27,,,,
688562,航天软件,计算机,688562,航天软件,2026-08-31,2026-08-28,,,
301315,威士顿,计算机,301315,威士顿,2026-08-28,,,,
688631,莱斯信息,计算机,688631,莱斯信息,2026-08-27,,,,
688651,盛邦安全,计算机,688651,盛邦安全,2026-08-29,,,,
688695,中创股份,计算机,688695,中创股份,2026-08-28,,,,
301182,凯旺科技,计算机,301182,凯旺科技,2026-08-29,,,,
301600,慧翰股份,计算机,301600,慧翰股份,2026-08-29,,,,
301556,托普云农,计算机,301556,托普云农,2026-08-28,,,,
301638,南网数字,计算机,301638,南网数字,2026-08-28,,,,
300536,农尚环境,计算机,300536,农尚环境,2026-08-27,,,,
000034,神州数码,计算机,000034,神州数码,2026-08-29,,,,
000070,特发信息,通信,000070,特发信息,2026-08-27,,,,
002104,恒宝股份,通信,002104,恒宝股份,2026-08-29,,,,
002467,二六三,通信,002467,二六三,2026-08-29,,,,
300134,大富科技,通信,300134,大富科技,2026-08-29,,,,
300183,东软载波,通信,300183,东软载波,2026-08-27,,,,
300292,吴通控股,通信,300292,吴通控股,2026-08-29,,,,
300310,宜通世纪,通信,300310,宜通世纪,2026-08-28,,,,
300353,东土科技,通信,300353,东土科技,2026-08-29,,,,
300513,恒实科技,通信,300513,恒实科技,2026-08-29,,,,
300555,ST路通,通信,300555,ST路通,2026-08-28,,,,
300560,中富通,通信,300560,中富通,2026-08-29,,,,
300571,平治信息,通信,300571,平治信息,2026-08-27,,,,
300590,移为通信,通信,300590,移为通信,2026-08-28,,,,
300597,吉大通信,通信,300597,吉大通信,2026-08-29,,,,
300638,广和通,通信,300638,广和通,2026-08-27,,,,
300710,万隆光电,通信,300710,万隆光电,2026-08-29,,,,
300913,兆龙互连,通信,300913,兆龙互连,2026-08-29,,,,
300959,线上线下,通信,300959,线上线下,2026-08-27,,,,
600289,ST信通,通信,600289,ST信通,2026-08-27,,,,
600487,亨通光电,通信,600487,亨通光电,2026-08-27,,,,
600498,烽火通信,通信,600498,烽火通信,2026-08-27,,,,
600522,中天科技,通信,600522,中天科技,2026-08-28,,,,
600734,*ST实达,通信,600734,*ST实达,2026-08-27,,,,
600775,南京熊猫,通信,600775,南京熊猫,2026-08-27,,,,
600776,东方通信,通信,600776,东方通信,2026-08-27,,,,
603220,中贝通信,通信,603220,中贝通信,2026-08-27,,,,
688159,有方科技,通信,688159,有方科技,2026-08-29,,,,
688618,三旺通信,通信,688618,三旺通信,2026-08-28,,,,
688283,坤恒顺维,通信,688283,坤恒顺维,2026-08-29,,,,
301191,菲菱科思,通信,301191,菲菱科思,2026-08-28,,,,
301139,*ST元道,通信,301139,*ST元道,2026-08-29,,,,
000839,国安股份,通信,000839,国安股份,2026-08-27,,,,
300603,立昂技术,通信,300603,立昂技术,2026-08-27,,,,
301205,联特科技,通信,301205,联特科技,2026-08-28,,,,
688387,信科移动,通信,688387,信科移动,2026-08-27,,,,
301314,科瑞思,通信,301314,科瑞思,2026-08-27,,,,
301382,蜂助手,通信,301382,蜂助手,2026-08-27,,,,
301428,世纪恒通,通信,301428,世纪恒通,2026-08-28,,,,
300383,光环新网,通信,300383,光环新网,2026-08-27,,,,
300442,润泽科技,通信,300442,润泽科技,2026-08-28,,,,
688592,司南导航,通信,688592,司南导航,2026-08-28,,,,
002881,美格智能,通信,002881,美格智能,2026-08-28,,,,
300098,高新兴,通信,300098,高新兴,2026-08-29,,,,
