序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
1347,中国国际金融股份有限公司上海分公司,2025-01-17,0,2,24762063.0,42562211.99,-17800148.99,川发龙蟒 科泰电源,10088113
1348,长城国瑞证券有限公司北京远大路证券营业部,2025-01-17,0,1,,17893035.0,-17893035.0,红星发展,10064550
1349,光大证券股份有限公司丹阳中新路证券营业部,2025-01-14,0,1,,17911209.42,-17911209.42,天和磁材,10067894
1350,东吴证券股份有限公司苏州相城采莲路证券营业部,2025-01-13,0,1,,17913456.0,-17913456.0,苏豪弘业,10139145
1351,国泰君安证券股份有限公司襄阳长虹路证券营业部,2025-01-14,0,1,,18219585.0,-18219585.0,福达股份,10140604
1352,海通证券股份有限公司大理榆华路证券营业部,2025-01-14,0,1,,18248700.0,-18248700.0,埃夫特,10456401
1353,华鑫证券有限责任公司深圳财富大厦证券营业部,2025-01-14,0,1,,18380639.0,-18380639.0,福达股份,10000734168
1354,华宝证券股份有限公司上海东大名路证券营业部,2025-01-16,0,1,820902.0,19292811.0,-18471909.0,姚记科技,10456831
1355,招商证券股份有限公司深圳福民路证券营业部,2025-01-15,0,1,872975.0,19368179.0,-18495204.0,金奥博,10046529
1356,摩根大通证券（中国）有限公司上海银城中路证券营业部,2025-01-17,0,2,,18526084.0,-18526084.0,光大嘉宝 格尔软件,10000100571
1357,国泰君安证券股份有限公司深圳金田路证券营业部,2025-01-13,0,1,75698.0,18639482.0,-18563784.0,雄韬股份,10025385
1358,海通证券股份有限公司上虞市民大道证券营业部,2025-01-17,0,1,,18581400.0,-18581400.0,纳芯微,10375811
1359,中泰证券股份有限公司天津红旗路证券营业部,2025-01-10,0,1,5239.0,18637337.0,-18632098.0,博实股份,10124808
1360,东吴证券股份有限公司苏州西北街证券营业部,2025-01-17,0,1,3420365.0,22148691.0,-18728326.0,广百股份,10028577
1361,华鑫证券有限责任公司深圳益田路证券营业部,2025-01-14,0,1,1707515.0,20637947.91,-18930432.91,立方退,10495078
1362,海通证券股份有限公司福州五一北路证券营业部,2025-01-17,0,1,240866.0,19265094.57,-19024228.57,思美传媒,10030191
1363,华泰证券股份有限公司江西分公司,2025-01-15,1,1,11314246.0,30397256.16,-19083010.16,佳云科技 立方退,10427427
1364,中信证券股份有限公司杭州教工路证券营业部,2025-01-15,0,1,,19179155.8,-19179155.8,超讯科技,10334359
1365,东方财富证券股份有限公司拉萨东环路第一证券营业部,2025-01-17,4,4,104652081.32,123886976.75,-19234895.43,星图测控 巨轮智能 骏创科技 鸿智科技 广百股份 ST如意 遥望科技 钧崴电子,10428246
1366,华鑫证券有限责任公司山东分公司,2025-01-14,0,1,,19357966.0,-19357966.0,弘讯科技,10918500
1367,光大证券股份有限公司上海淮海中路证券营业部,2025-01-13,0,1,627255.0,20110692.0,-19483437.0,神剑股份,10125410
1368,湘财证券股份有限公司北京朝外大街证券营业部,2025-01-14,0,2,,19488545.9,-19488545.9,哈空调 *ST凌云B,10026785
1369,国金证券股份有限公司成都东城根街证券营业部,2025-01-10,0,1,,19559688.0,-19559688.0,天和磁材,10290537
1370,中国银河证券股份有限公司上海宜川路证券营业部,2025-01-15,1,1,6877900.0,26453570.0,-19575670.0,福石控股 华塑科技,10140531
1371,华泰证券股份有限公司佛山灯湖东路证券营业部,2025-01-17,0,1,,19688760.0,-19688760.0,苏豪弘业,10265139
1372,深股通专用,2025-01-13,10,11,315139454.2,334852418.94,-19712964.74,北方铜业 建设工业 国星光电 雅化集团 雄韬股份 潜能恒信 慈星股份 德福科技 无线传媒 博实结 强达电路,10634757
1373,平安证券股份有限公司深圳分公司,2025-01-15,1,1,5887410.67,25608734.04,-19721323.37,天和磁材 航天电器,10048273
