date,wave,ticker,name,group,t0_date,t0_close,last_date,last_close,ret_asof_now,ret_max_seen,n_days_avail
2026-07-10,A,603005,晶方科技,watch,2026-07-10,43.97,2026-08-21,32.75,-25.52,0.0,30
2026-07-10,A,600206,有研新材,reject,2026-07-10,59.95,2026-08-21,54.24,-9.52,0.0,30
2026-07-10,A,603688,石英股份,reject,2026-07-10,65.5,2026-08-21,48.75,-25.57,0.0,30
2026-07-10,A,600549,厦门钨业,watch,2026-07-10,63.35,2026-08-21,55.58,-12.27,0.0,30
2026-07-10,A,688608,恒玄科技,reject,2026-07-10,118.2,2026-08-21,107.49,-9.06,11.68,30
2026-07-10,A,688049,炬芯科技,watch,2026-07-10,44.75,2026-08-21,39.17,-12.47,0.0,30
2026-07-10,A,002378,章源钨业,reject,2026-07-10,27.37,2026-08-21,26.2,-4.27,3.32,30
2026-07-10,A,688690,纳微科技,watch,2026-07-10,40.1,2026-08-21,43.4,8.23,13.14,30
2026-07-10,A,688131,皓元医药,watch,2026-07-10,87.67,2026-08-21,97.39,11.09,14.54,30
2026-07-10,A,603191,望变电气,reject,2026-07-10,14.41,2026-08-21,14.73,2.22,17.56,30
2026-07-10,A,600089,特变电工,reject,2026-07-10,20.06,2026-08-21,20.05,-0.05,7.88,30
2026-07-10,A,000933,神火股份,probe,2026-07-10,23.49,2026-08-21,25.78,9.75,16.39,30
2026-07-10,A,603606,东方电缆,watch,2026-07-10,39.98,2026-08-21,34.11,-14.68,5.95,30
2026-07-10,A,002179,中航光电,watch,2026-07-10,39.1,2026-08-21,34.42,-11.97,0.0,30
2026-07-10,A,600456,宝钛股份,reject,2026-07-10,27.8,2026-08-21,27.35,-1.62,4.68,30
2026-07-10,A,002025,航天电器,watch,2026-07-10,79.15,2026-08-21,62.67,-20.82,0.0,30
2026-07-10,A,688333,铂力特,probe,2026-07-10,111.05,2026-08-21,105.46,-5.03,4.64,30
2026-07-15,A,688690,纳微科技,watch,2026-07-15,37.99,2026-08-21,43.4,14.24,19.43,27
2026-07-15,A,688293,奥浦迈,watch,2026-07-15,53.95,2026-08-21,61.75,14.46,25.17,27
2026-07-15,A,688131,皓元医药,watch,2026-07-15,91.4,2026-08-21,97.39,6.55,9.87,27
2026-07-29,B,000538,云南白药,watch,2026-07-29,51.89,2026-08-21,49.33,-4.93,1.87,17
2026-07-29,B,603383,顶点软件,watch,2026-07-29,29.55,2026-08-21,28.59,-3.25,4.67,17
2026-07-29,B,600019,宝钢股份,watch,2026-07-29,6.11,2026-08-21,5.81,-4.91,2.45,17
