code,name,disclosure_date,np_yoy_pct,rev_yoy_pct,tier,np_rank_pct,ret_1d,ret_5d,ret_20d,idx_ret_1d,excess_ret_1d,idx_ret_5d,excess_ret_5d,idx_ret_20d,excess_ret_20d
688046,药康生物,2026-08-20,56.28,22.6091214663,Beat(前1/3),0.7385964912280701,0.019444444444444597,,,0.002387774103576934,0.017056670340867663,,,,
000691,亚太实业,2026-08-22,92.66,29.190576646,Beat(前1/3),0.804093567251462,,,,,,,,,
002813,路畅科技,2026-08-07,52.65,-16.3817664946,Beat(前1/3),0.7298245614035088,-0.01563981042654039,-0.017535545023696697,,0.010174722691695504,-0.025814533118235894,0.006823230313571793,-0.02435877533726849,,
002759,ST天际,2026-08-21,531.39,111.1094950144,Beat(前1/3),0.9625730994152046,0.04824063564131653,,,0.00037963778661431746,0.047860997854702214,,,,
600183,生益科技,2026-08-15,130.42,50.0454791459,Beat(前1/3),0.8502923976608188,0.008937923329376485,-0.07269045457719425,,0.014126690527748176,-0.005188767198371691,-0.005595114657453548,-0.0670953399197407,,
601579,会稽山,2026-08-22,37.04,4.4297030225,Beat(前1/3),0.6719298245614035,,,,,,,,,
300575,中旗股份,2026-08-18,181.57,16.1534116492,Beat(前1/3),0.8918128654970761,-0.02280130293159599,,,0.0019208296778983058,-0.024722132609494296,,,,
002154,报 喜 鸟,2026-08-15,47.71,9.9615278039,Beat(前1/3),0.7152046783625731,0.014251781472683911,-0.03325415676959609,,0.014126690527748176,0.00012509094493573514,-0.005595114657453548,-0.02765904211214254,,
000802,北京文化,2026-08-15,83.15,-38.2195485632,Beat(前1/3),0.7912280701754386,-0.09966216216216217,-0.3260135135135135,,0.014126690527748176,-0.11378885268991035,-0.005595114657453548,-0.32041839885605994,,
688781,视涯科技,2026-08-21,56.3523647902,287.8650520737,Beat(前1/3),0.7397660818713451,-0.03971486761710796,,,0.00037963778661431746,-0.04009450540372228,,,,
