date,ticker,name,decision_raw,group,t0_date,t0_close,n_days_avail,ret_5,ret_20,ret_40,data_status
2026-07-10,600549,厦门钨业,watch_expired,watch,2026-07-10,63.35,30,-19.069,-8.398,,OK
2026-07-10,688608,恒玄科技,reject,reject,2026-07-10,118.2,30,-4.569,-4.983,,OK
2026-07-10,688049,炬芯科技,watch_expired,watch,2026-07-10,44.75,30,-17.877,-5.006,,OK
2026-07-10,002378,章源钨业,reject,reject,2026-07-10,27.37,30,-15.784,-1.242,,OK
2026-07-10,688690,纳微科技,watch_expired,watch,2026-07-10,40.1,30,-19.451,4.738,,OK
2026-07-10,688131,皓元医药,watch_expired,watch,2026-07-10,87.67,30,-18.889,7.791,,OK
2026-07-10,603191,望变电气,reject,reject,2026-07-10,14.41,30,-11.381,-3.539,,OK
2026-07-10,600089,特变电工,reject,reject,2026-07-10,20.06,30,-6.979,6.331,,OK
2026-07-10,000933,神火股份,probe,probe,2026-07-10,23.49,30,2.086,14.219,,OK
2026-07-10,603606,东方电缆,watch_expired,watch,2026-07-10,39.98,30,-5.603,-3.202,,OK
2026-07-10,002179,中航光电,watch_expired,watch,2026-07-10,39.1,30,-16.368,-9.309,,OK
2026-07-10,600456,宝钛股份,reject,reject,2026-07-10,27.8,30,-1.619,2.95,,OK
2026-07-10,002025,航天电器,watch_expired,watch,2026-07-10,79.15,30,-18.181,-16.905,,OK
2026-07-10,688333,铂力特,probe,probe,2026-07-10,111.05,30,-10.707,-0.639,,OK
2026-07-15,688690,纳微科技,watch_expired,watch,2026-07-15,37.99,27,-9.318,15.32,,OK
2026-07-15,688293,奥浦迈,watch_expired,watch,2026-07-15,53.95,27,10.176,14.625,,OK
2026-07-15,688131,皓元医药,watch_expired,watch,2026-07-15,91.4,27,-22.319,2.954,,OK
2026-07-29,000538,云南白药,watch,watch,2026-07-29,51.89,17,-1.908,,,OK
2026-07-29,603383,顶点软件,watch,watch,2026-07-29,29.55,17,3.824,,,OK
