code,date,close,preclose,streak,yizi,open_gap,turn_pct,amount,circ_mcap_yuan,gain20_before,isST,board_pct
sh.600268,2025-07-14,8.86,8.05,1,False,7.83,2.175,194225209.15,8929894674.0,14.77,0,0.1
sh.600268,2025-07-21,9.87,8.97,1,False,3.68,6.482,632045791.7,9750783581.0,31.78,0,0.1
sh.600268,2025-07-22,10.86,9.87,2,False,8.41,12.2547,1321839641.29,10786389233.0,40.31,0,0.1
sh.600268,2025-08-08,10.15,9.23,1,False,-0.22,8.5538,839825221.29,9818153584.0,26.09,0,0.1
sh.600276,2025-07-28,62.04,56.4,1,False,6.56,2.5554,9943549096.52,389119084939.0,19.54,0,0.1
sh.600281,2025-07-11,7.47,6.79,1,False,0.0,12.5893,475718682.0,3778754037.0,2.89,0,0.1
sh.600284,2025-08-22,8.44,7.67,1,False,1.17,7.8955,627933706.8,7953058157.0,23.39,0,0.1
sh.600288,2025-07-24,12.0,10.91,1,False,-0.09,11.0785,561198840.5,5065657269.0,22.7,0,0.1
sh.600288,2025-07-25,13.2,12.0,2,False,-0.58,12.9394,716668020.33,5538649554.0,32.66,0,0.1
sh.600288,2025-08-06,13.26,12.05,1,False,-0.41,12.6085,704326292.53,5586122794.0,28.74,0,0.1
sh.600289,2025-07-09,7.04,6.7,1,False,4.48,1.084,43001248.0,3966904797.0,25.04,1,0.1
sh.600289,2025-07-10,7.39,7.04,2,False,4.83,0.5668,23680766.39,4177975722.0,31.49,1,0.1
sh.600289,2025-08-04,6.74,6.42,1,False,0.93,1.2901,48751365.76,3778882704.0,0.6,1,0.1
sh.600289,2025-08-08,6.99,6.66,1,False,0.0,1.7368,67759699.53,3901410613.0,-5.03,1,0.1
sh.600301,2025-08-13,25.27,22.97,1,False,-0.13,7.4811,502501062.32,6716940855.0,20.33,0,0.1
sh.600302,2025-07-30,7.03,6.39,1,False,0.16,11.2258,270039671.56,2405527192.0,10.53,0,0.1
sh.600302,2025-08-06,7.6,6.91,1,False,0.58,11.5313,293990340.0,2549498669.0,21.99,0,0.1
